騎手コード,jockey_fuku30,jockey_fuku90
409,0.041666666666666664,0.041666666666666664
422,0.13333333333333333,0.14444444444444443
426,0.0,0.0
629,0.13333333333333333,0.14444444444444443
635,0.16666666666666666,0.16666666666666666
637,0.125,0.125
641,0.2,0.15555555555555556
652,0.23333333333333334,0.25555555555555554
655,0.43333333333333335,0.32222222222222224
660,0.26666666666666666,0.25555555555555554
663,0.23333333333333334,0.2
666,0.3,0.3111111111111111
684,0.2,0.15555555555555556
689,0.1,0.12222222222222222
691,0.2,0.2777777777777778
695,0.16666666666666666,0.17777777777777778
700,0.2,0.25555555555555554
705,0.13333333333333333,0.13333333333333333
709,0.2,0.1
711,0.36666666666666664,0.34444444444444444
715,0.3333333333333333,0.2
718,0.18518518518518517,0.18518518518518517
722,0.0,0.05555555555555555
726,0.0,0.05555555555555555
727,0.26666666666666666,0.24444444444444444
732,0.1,0.2111111111111111
733,0.1,0.07777777777777778
815,0.13333333333333333,0.10909090909090909
817,0.14285714285714285,0.14285714285714285
837,0.1,0.1
843,0.16666666666666666,0.16666666666666666
863,0.14285714285714285,0.14285714285714285
875,0.5,0.5
878,0.0,0.0
890,0.375,0.375
894,0.03333333333333333,0.03333333333333333
897,0.25,0.25
1004,0.1,0.06666666666666667
1005,0.36666666666666664,0.36666666666666664
1008,0.2,0.26666666666666666
1009,0.1,0.03333333333333333
1010,0.0,0.022222222222222223
1014,0.2,0.4111111111111111
1015,0.16666666666666666,0.13333333333333333
1018,0.23333333333333334,0.17777777777777778
1019,0.16666666666666666,0.17777777777777778
1023,0.1,0.15555555555555556
1025,0.2,0.14444444444444443
1026,0.13333333333333333,0.15555555555555556
1029,0.06666666666666667,0.07777777777777778
1030,0.23333333333333334,0.18888888888888888
1031,0.06666666666666667,0.044444444444444446
1032,0.23333333333333334,0.23333333333333334
1033,0.0,0.0
1034,0.06666666666666667,0.13333333333333333
1035,0.23333333333333334,0.26666666666666666
1036,0.06666666666666667,0.13333333333333333
1037,0.2,0.2222222222222222
1038,0.16666666666666666,0.13333333333333333
1043,0.1,0.14444444444444443
1046,0.5,0.4888888888888889
1049,0.03333333333333333,0.03333333333333333
1050,0.06666666666666667,0.1206896551724138
1051,0.03333333333333333,0.044444444444444446
1052,0.2,0.2111111111111111
1057,0.2,0.15555555555555556
1059,0.16666666666666666,0.2
1061,0.1,0.05555555555555555
1062,0.13333333333333333,0.13333333333333333
1063,0.43333333333333335,0.4111111111111111
1066,0.3,0.2222222222222222
1067,0.4,0.3111111111111111
1068,0.16666666666666666,0.25555555555555554
1069,0.3333333333333333,0.2777777777777778
1072,0.16666666666666666,0.1111111111111111
1075,0.4,0.28888888888888886
1077,0.26666666666666666,0.14444444444444443
1080,0.23333333333333334,0.2777777777777778
1082,0.03333333333333333,0.12222222222222222
1085,0.13333333333333333,0.06666666666666667
1087,0.26666666666666666,0.2777777777777778
1088,0.36666666666666664,0.4777777777777778
1089,0.03333333333333333,0.03333333333333333
1091,0.2,0.18888888888888888
1092,0.26666666666666666,0.17777777777777778
1093,0.4,0.32222222222222224
1095,0.16666666666666666,0.2222222222222222
1096,0.3333333333333333,0.18888888888888888
1097,0.16666666666666666,0.07777777777777778
1099,0.13333333333333333,0.13333333333333333
1101,0.13333333333333333,0.18888888888888888
1102,0.2,0.18888888888888888
1104,0.0,0.03333333333333333
1105,0.06666666666666667,0.1
1108,0.03333333333333333,0.022222222222222223
1109,0.06666666666666667,0.08888888888888889
1111,0.03333333333333333,0.05555555555555555
1112,0.13333333333333333,0.06666666666666667
1113,0.3,0.26666666666666666
1114,0.06666666666666667,0.12222222222222222
1115,0.2,0.3111111111111111
1116,0.3,0.35555555555555557
1117,0.06666666666666667,0.1
1118,0.03333333333333333,0.07777777777777778
1119,0.2,0.13333333333333333
1120,0.3333333333333333,0.25555555555555554
1122,0.2,0.3111111111111111
1123,0.26666666666666666,0.24444444444444444
1124,0.23333333333333334,0.3
1125,0.13333333333333333,0.1111111111111111
1126,0.4,0.32222222222222224
1127,0.26666666666666666,0.2777777777777778
1128,0.1,0.08888888888888889
1129,0.0,0.044444444444444446
1130,0.1,0.16666666666666666
1131,0.13333333333333333,0.13333333333333333
1132,0.03333333333333333,0.03333333333333333
1133,0.13333333333333333,0.1
1134,0.1,0.14444444444444443
1135,0.1,0.12222222222222222
1136,0.14285714285714285,0.14285714285714285
1137,0.06666666666666667,0.05555555555555555
1138,0.16666666666666666,0.06666666666666667
1139,0.3333333333333333,0.32222222222222224
1140,0.26666666666666666,0.3
1141,0.06666666666666667,0.1111111111111111
1142,0.16666666666666666,0.1111111111111111
1143,0.16666666666666666,0.07777777777777778
1144,0.06666666666666667,0.1111111111111111
1145,0.03333333333333333,0.05555555555555555
1146,0.0,0.044444444444444446
1147,0.03333333333333333,0.05555555555555555
1148,0.03333333333333333,0.08888888888888889
1149,0.16666666666666666,0.18888888888888888
1150,0.2,0.24444444444444444
1151,0.03333333333333333,0.1111111111111111
1152,0.13333333333333333,0.13333333333333333
1153,0.16666666666666666,0.12222222222222222
1154,0.16666666666666666,0.16666666666666666
1155,0.13333333333333333,0.2
1156,0.06666666666666667,0.1111111111111111
1157,0.3333333333333333,0.26666666666666666
1158,0.0,0.05555555555555555
1159,0.2,0.16666666666666666
1160,0.3,0.3111111111111111
1161,0.13333333333333333,0.13333333333333333
1162,0.13333333333333333,0.13333333333333333
1163,0.3,0.28888888888888886
1164,0.13333333333333333,0.15555555555555556
1165,0.06666666666666667,0.05555555555555555
1166,0.13333333333333333,0.1111111111111111
1167,0.06666666666666667,0.044444444444444446
1168,0.3,0.2
1169,0.03333333333333333,0.07777777777777778
1170,0.3,0.3333333333333333
1171,0.3333333333333333,0.2777777777777778
1172,0.0,0.06666666666666667
1173,0.03333333333333333,0.05555555555555555
1174,0.23333333333333334,0.28888888888888886
1175,0.06666666666666667,0.08888888888888889
1176,0.23333333333333334,0.16666666666666666
1177,0.13333333333333333,0.08888888888888889
1178,0.23333333333333334,0.2
1179,0.3333333333333333,0.23333333333333334
1180,0.26666666666666666,0.2777777777777778
1181,0.03333333333333333,0.044444444444444446
1182,0.06666666666666667,0.1111111111111111
1183,0.03333333333333333,0.08888888888888889
1184,0.06666666666666667,0.06666666666666667
1185,0.2,0.16666666666666666
1186,0.26666666666666666,0.18888888888888888
1187,0.13333333333333333,0.16666666666666666
1188,0.2,0.18888888888888888
1189,0.16666666666666666,0.17777777777777778
1190,0.26666666666666666,0.17777777777777778
1191,0.16666666666666666,0.15555555555555556
1192,0.13333333333333333,0.15555555555555556
1193,0.2,0.13333333333333333
1194,0.06666666666666667,0.06666666666666667
1195,0.1,0.05555555555555555
1196,0.5333333333333333,0.43333333333333335
1197,0.16666666666666666,0.15555555555555556
1198,0.0,0.044444444444444446
1199,0.13333333333333333,0.15555555555555556
1200,0.1,0.16666666666666666
1201,0.0,0.07777777777777778
1202,0.23333333333333334,0.17777777777777778
1203,0.1,0.07777777777777778
1204,0.13333333333333333,0.07777777777777778
1205,0.16666666666666666,0.12222222222222222
1206,0.13333333333333333,0.13333333333333333
1207,0.13333333333333333,0.08888888888888889
1208,0.06666666666666667,0.12222222222222222
1209,0.13333333333333333,0.14444444444444443
1210,0.06666666666666667,0.08888888888888889
1211,0.2,0.22727272727272727
1212,0.03333333333333333,0.13333333333333333
1213,0.3333333333333333,0.3111111111111111
1214,0.16666666666666666,0.13333333333333333
1215,0.03333333333333333,0.07777777777777778
1216,0.16666666666666666,0.2
1217,0.03333333333333333,0.07777777777777778
1218,0.03333333333333333,0.022222222222222223
1219,0.03333333333333333,0.046153846153846156
1220,0.1,0.1111111111111111
1221,0.1,0.13333333333333333
1222,0.03333333333333333,0.12222222222222222
1223,0.13333333333333333,0.1
5039,0.2857142857142857,0.2857142857142857
5053,0.1,0.1111111111111111
5073,0.0,0.0
5074,0.16666666666666666,0.16666666666666666
5089,0.0,0.0
5091,0.16666666666666666,0.18518518518518517
5098,0.0,0.0
5115,0.3,0.2222222222222222
5135,0.5,0.35555555555555557
5161,0.05263157894736842,0.05263157894736842
5171,0.06666666666666667,0.05555555555555555
5199,0.03333333333333333,0.04054054054054054
5203,0.3,0.2222222222222222
5212,0.16666666666666666,0.13333333333333333
5217,0.03333333333333333,0.024390243902439025
5229,0.03333333333333333,0.05555555555555555
5230,0.03333333333333333,0.03125
5243,0.16666666666666666,0.14444444444444443
5268,0.16666666666666666,0.06666666666666667
5271,0.36666666666666664,0.45555555555555555
5286,0.06666666666666667,0.10810810810810811
5299,0.1,0.16666666666666666
5301,0.0,0.0
5321,0.06666666666666667,0.14444444444444443
5328,0.03333333333333333,0.02702702702702703
5336,0.23333333333333334,0.3111111111111111
5339,0.6,0.6
5342,0.13333333333333333,0.2
5364,0.13333333333333333,0.13333333333333333
5366,0.4,0.37777777777777777
5370,0.0,0.0
5377,0.26666666666666666,0.3114754098360656
5380,0.125,0.125
5383,0.13333333333333333,0.1111111111111111
5386,0.4,0.3888888888888889
5389,0.13333333333333333,0.10810810810810811
5390,0.03333333333333333,0.08888888888888889
5404,0.06666666666666667,0.12244897959183673
5408,0.06666666666666667,0.06060606060606061
5411,0.06666666666666667,0.06666666666666667
5416,0.26666666666666666,0.2
5420,0.03333333333333333,0.03333333333333333
5427,0.0,0.0
5429,0.03333333333333333,0.1111111111111111
5435,0.045454545454545456,0.045454545454545456
5443,0.06666666666666667,0.05128205128205128
5445,0.0,0.0
5447,0.16666666666666666,0.16666666666666666
5451,0.03333333333333333,0.017543859649122806
5454,0.3333333333333333,0.35555555555555557
5455,0.0,0.0
5460,0.06666666666666667,0.12222222222222222
5464,0.26666666666666666,0.2631578947368421
5469,0.13333333333333333,0.11290322580645161
5470,0.4,0.375
5471,0.16666666666666666,0.3
5472,0.23333333333333334,0.28888888888888886
5473,0.5333333333333333,0.5222222222222223
5478,0.0,0.0
5485,0.16666666666666666,0.17567567567567569
5487,0.0,0.0
5492,0.06666666666666667,0.06666666666666667
5495,0.3333333333333333,0.4222222222222222
5497,0.06666666666666667,0.1111111111111111
5498,0.3,0.25555555555555554
5502,0.0,0.0
5503,0.1111111111111111,0.1111111111111111
5504,0.3333333333333333,0.28888888888888886
5505,0.2857142857142857,0.2857142857142857
5509,0.6333333333333333,0.6222222222222222
5510,0.13333333333333333,0.2
5511,0.2,0.2222222222222222
5512,0.0,0.0
5513,0.13333333333333333,0.1232876712328767
5514,0.16666666666666666,0.2602739726027397
5516,0.2,0.2
5517,0.13333333333333333,0.13333333333333333
5519,0.23333333333333334,0.18181818181818182
5520,0.125,0.125
5521,0.0,0.0
5524,0.16666666666666666,0.1111111111111111
5525,0.03333333333333333,0.06666666666666667
5527,0.23333333333333334,0.24444444444444444
5528,0.5,0.3888888888888889
5529,0.36666666666666664,0.35555555555555557
5530,0.0,0.0
5531,0.2,0.23333333333333334
5532,0.3,0.26666666666666666
5533,0.06666666666666667,0.16666666666666666
5534,0.06666666666666667,0.13333333333333333
5536,0.0,0.0
5538,0.3333333333333333,0.3333333333333333
5541,0.15,0.15
5545,0.0,0.0
5547,0.125,0.125
5557,0.0,0.0
5558,0.13333333333333333,0.175
5568,0.3,0.3111111111111111
5570,0.0,0.0
5573,0.16666666666666666,0.16666666666666666
5574,0.0,0.0
5575,0.4666666666666667,0.5444444444444444
5578,0.1,0.08928571428571429
5580,0.2,0.2
5581,0.4,0.4
5585,0.36666666666666664,0.4444444444444444
5586,0.2,0.2
5592,0.0,0.0
5596,0.36666666666666664,0.3
5609,0.15384615384615385,0.15384615384615385
5619,0.23333333333333334,0.2111111111111111
5620,0.4,0.3888888888888889
5621,0.5,0.37777777777777777
5623,0.125,0.125
5625,0.23333333333333334,0.16666666666666666
5626,0.5666666666666667,0.3888888888888889
5627,0.16666666666666666,0.2777777777777778
5629,0.0,0.0
5639,0.1111111111111111,0.1111111111111111
5640,0.0,0.0
5641,0.16666666666666666,0.13924050632911392
5642,0.16666666666666666,0.16666666666666666
5643,0.3333333333333333,0.32222222222222224
5644,0.3,0.3076923076923077
5659,0.13333333333333333,0.14444444444444443
5660,0.26666666666666666,0.2714285714285714
5661,0.2,0.19767441860465115
5662,0.3333333333333333,0.3333333333333333
5663,0.03333333333333333,0.1
5664,0.0,0.0
5674,0.26666666666666666,0.2111111111111111
5675,0.375,0.375
5678,0.23333333333333334,0.3333333333333333
5680,0.26666666666666666,0.27586206896551724
