レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
6,,12,,,,,サヨノジャンボリー,,牡,4,16,11,16,福島,D,1150,良,9,9,１勝ｸﾗｽ・若,37.5,後方,5,10,11,東京,D,1400,稍,15,12,１勝ｸﾗｽ,38.7,先行,3,9,20,中山,D,1200,重,9,6,１勝ｸﾗｽ,37.7,後方,2,9,6,中山,D,1200,稍,11,4,１勝ｸﾗｽ,37.5,逃げ,14,6,1,京都,D,1400,良,8,11,１勝ｸﾗｽ*,38.4,中団,9
7,,13,,,,,アイアンソリッド,,牝,4,11,12,21,中京,D,1200,稍,6,11,１勝ｸﾗｽ・若,37.4,先行,2,12,6,中京,D,1200,良,10,6,１勝ｸﾗｽ,39.6,先行,4,11,8,福島,D,1150,良,8,10,１勝ｸﾗｽ,37.5,中団,3,10,19,新潟,D,1200,重,4,6,１勝ｸﾗｽ・牝,37.1,差し,18,6,14,東京,D,1400,良,13,6,１勝ｸﾗｽ・牝,37.7,中団,4
7,,14,,,,,アルマーレシチー,,セ,5,10,12,28,中山,D,1200,良,6,10,１勝ｸﾗｽ,37.3,後方,9,10,26,新潟,D,1200,稍,8,11,１勝ｸﾗｽ・若,37.4,中団,19,6,17,川崎,D,1500,良,9,7,ジュー,----,中団,8,4,20,福島,D,1700,良,13,9,１勝ｸﾗｽ,39.7,中団,6,3,8,中山,D,1800,稍,15,12,１勝ｸﾗｽ,40.4,後方,4
8,,15,,,,,アースミューズ,,牝,4,12,12,14,中京,D,1200,稍,8,12,１勝ｸﾗｽ,37.5,中団,3,11,22,福島,D,1150,良,14,11,１勝ｸﾗｽ,39.1,中団,16,8,2,札幌,D,1000,良,4,4,１勝ｸﾗｽ・牝,36.0,先行,3,7,12,函館,D,1000,良,4,5,１勝ｸﾗｽ,36.0,先行,2,6,28,函館,D,1000,稍,6,12,１勝ｸﾗｽ,35.0,後方,16
8,B,16,,,,,イェルマーク,,牡,5,17,11,9,福島,T,1200,良,16,13,１勝ｸﾗｽ,36.6,後方,10,8,30,新潟,T,1400,良,17,11,新発田城･1勝,36.9,中団,9,6,29,福島,T,1200,良,7,6,１勝ｸﾗｽ,36.0,先行,17,3,5,川崎,D, 900,不,1,1,進撃賞,----,先行,3,2,8,川崎,D, 900,良,1,1,雷獣賞,----,差し,5
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020407,2026.3.8,日,中山,2中4,7,,1勝,芝,1600,A,3,良,晴,16,13:25,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,マルガ,,牝,3,3,2,14,東京,T,1600,良,7,5,クイーンG3,34.2,中団,9,12,13,中京,T,1400,良,3,1,つわぶき･1勝,33.5,追込,7,10,25,東京,T,1600,稍,5,1,アルテミG3,35.2,逃げ,15,7,12,函館,T,1800,良,1,1,新馬,35.7,逃げ,初,,,,,,,,,,,,
2,,2,,,,,ショーリバース,,牡,3,連,3,1,中山,T,1600,良,7,5,１勝ｸﾗｽ*,34.8,中団,4,1,31,東京,D,1600,良,6,7,１勝ｸﾗｽ*,36.9,中団,7,12,14,中山,D,1800,稍,16,9,１勝ｸﾗｽ*,40.1,後方,2,11,29,東京,D,1600,良,6,8,カトレア,37.7,中団,7,10,13,東京,D,1600,良,2,4,プラタナ･1勝,36.4,逃げ,13
3,,3,,,,,ランズダウンロード,,牡,3,16,11,16,東京,T,1800,良,1,2,未勝利*,35.0,先行,4,10,19,東京,T,1800,良,6,1,新馬,33.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ディールメーカー,,牡,3,8,1,10,中山,T,1600,良,1,2,未勝利,34.6,先行,24,7,27,新潟,T,1600,良,2,5,新馬,32.8,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,コルテオソレイユ,,牡,3,11,12,21,阪神,T,1600,重,11,6,フューチG1,36.0,先行,3,11,30,東京,T,1600,良,2,5,ベゴニア･1勝,33.5,差し,10,9,21,阪神,T,1600,良,1,6,未勝利*,34.9,差し,2,9,7,札幌,T,1500,稍,3,2,未勝利*,36.1,差し,7,7,20,函館,T,1200,良,3,1,未勝利*,35.2,先行,2
6,,6,,,,,ニシノセイドウ,,牡,3,3,2,14,東京,T,1400,良,7,8,１勝ｸﾗｽ*,33.8,中団,7,12,28,中山,T,1200,良,1,5,未勝利*,35.4,先行,3,12,7,中山,T,1200,良,4,6,新馬,34.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,アグネスクレスト,,牡,3,2,2,21,小倉,T,1200,良,10,6,あざみ賞･1勝,35.3,先行,3,1,31,東京,T,1400,良,10,13,クロッカ(L),34.4,中団,9,11,29,東京,T,1400,良,1,6,未勝利*,34.3,先行,3,11,9,東京,T,1400,良,4,7,未勝利*,34.9,先行,2,10,26,東京,T,1400,稍,5,3,新馬,34.4,中団,初
7,,8,,,,,ベレーバスク,,牝,3,3,2,14,東京,T,1400,良,8,4,１勝ｸﾗｽ*,34.1,先行,9,12,13,中京,T,1400,良,9,2,つわぶき･1勝,35.1,先行,6,11,1,京都,T,1400,良,5,4,ファンタG3,33.6,中団,5,9,28,中山,T,1600,良,2,3,サフラン･1勝,34.0,先行,6,8,16,新潟,T,1400,良,1,2,新馬・牝,34.9,先行,初
7,,9,,,,,トリスティ,,牝,3,2,2,22,東京,T,1600,良,10,10,１勝ｸﾗｽ*,36.3,中団,5,1,17,中山,T,1600,良,6,7,菜の花賞･1勝,34.4,中団,12,10,26,盛岡,D,1400,稍,6,4,プリン,----,先行,9,8,23,札幌,T,1500,良,3,9,クローバ,37.0,先行,5,7,22,門別,D,1200,良,5,5,ターフ,----,後方,2
8,,10,,,,,サーディンラン,,牡,3,16,11,16,京都,T,2000,良,7,7,黄菊賞･1勝*,36.4,中団,4,10,19,京都,T,1800,良,1,1,未勝利*,34.7,先行,8,8,24,中京,T,1600,良,3,2,未勝利*,34.5,差し,3,8,3,中京,T,1600,良,2,2,新馬,34.3,逃げ,初,,,,,,,,,,,,
8,,11,,,,,ポペット,,牝,3,4,2,8,小倉,T,1200,良,9,2,かささぎ･1勝,34.6,後方,3,1,17,中山,T,1600,良,7,1,菜の花賞･1勝,34.4,後方,8,11,23,東京,T,1600,良,2,1,赤松賞･1勝*,32.9,追込,3,11,1,京都,T,1400,良,6,5,ファンタG3,32.8,後方,8,9,6,札幌,T,1800,良,9,5,札幌２歳G3,36.2,中団,5
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020408,2026.3.8,日,中山,2中4,8,,2勝,ダート,1800,,4,稍,晴,16,13:55,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,セザンワールド,,セ,6,6,1,24,中山,D,1800,良,4,7,初霞賞･2勝,39.2,追込,3,1,5,中山,D,1800,稍,4,10,初茜賞･2勝,38.8,差し,3,12,11,船橋,D,1800,良,1,9,フェイ,----,差し,5,11,8,福島,T,1800,良,7,14,１勝ｸﾗｽ・若,35.7,中団,2,10,25,新潟,T,1800,良,9,14,１勝ｸﾗｽ・若,34.3,後方,5
2,,2,,,,,リラゲイル,,牡,4,7,1,18,中山,D,1800,良,1,2,１勝ｸﾗｽ,38.5,先行,3,12,27,中山,D,1800,稍,3,7,１勝ｸﾗｽ,37.9,差し,6,11,19,川崎,D,1500,良,1,1,サラ系,----,逃げ,5,10,15,川崎,D,1500,稍,1,1,山ノ内,----,差し,6,8,30,札幌,T,1500,稍,7,7,未勝利,36.7,中団,2
3,,3,,,,,ヴォルスター,,牡,5,3,2,12,船橋,D,1600,良,4,9,ハート,----,先行,8,12,21,阪神,D,1800,重,13,5,２勝ｸﾗｽ,39.9,逃げ,2,12,7,阪神,D,1800,良,8,12,豊中特別･2勝,39.9,逃げ,7,10,19,京都,D,1800,良,14,13,聚楽第特･2勝,40.3,中団,8,8,24,中京,D,1800,良,16,9,大府特別･2勝,42.7,中団,3
4,B,4,,,,,ニューファウンド,,セ,4,8,1,12,中山,D,2400,良,9,4,成田特別･2勝,40.7,先行,6,11,29,東京,D,2100,良,6,3,２勝ｸﾗｽ,38.5,先行,16,8,10,新潟,D,1800,不,9,15,レパードG3,37.4,中団,8,6,14,東京,D,2100,良,4,4,日野特別･2勝,36.1,追込,9,4,13,中山,D,1800,良,1,3,１勝ｸﾗｽ*,37.3,先行,4
4,B,5,,,,,ラオラシオン,,セ,5,3,2,14,東京,D,1600,良,12,12,２勝ｸﾗｽ,37.7,中団,16,10,25,新潟,D,1800,良,11,8,菅名岳特･2勝,39.4,中団,9,8,24,札幌,D,1700,良,7,4,WASJ第３･2勝,38.1,中団,4,7,26,札幌,D,1700,良,10,4,桑園特別･2勝,37.4,中団,10,5,17,新潟,D,1800,稍,2,5,中ノ岳特･2勝,37.8,先行,4
5,,6,,,,,マンダリンボレロ,,牡,6,3,2,14,京都,D,1900,稍,5,11,２勝ｸﾗｽ,37.7,後方,3,1,24,中山,D,1800,良,6,8,初霞賞･2勝,40.2,先行,4,12,28,中山,D,1800,良,7,9,ハッピー･2勝,40.0,後方,3,12,6,中山,D,1800,良,10,6,鹿島特別･2勝,39.9,先行,22,7,5,函館,D,1700,重,2,9,竜飛崎特･2勝,37.1,先行,4
5,B,7,,,,,マーゴットゲイン,,牡,4,3,2,15,東京,D,1400,良,14,5,２勝ｸﾗｽ,36.5,後方,11,11,29,東京,T,1600,良,5,7,２勝ｸﾗｽ,34.0,後方,3,11,8,東京,D,2100,良,7,3,神奈川新･2勝,37.9,中団,12,8,17,新潟,D,1800,良,1,2,１勝ｸﾗｽ,37.2,先行,3,7,27,新潟,D,1800,良,5,3,１勝ｸﾗｽ,37.1,後方,11
6,,8,,,,,ウインアクトゥール,,牡,5,4,2,7,小倉,T,1800,稍,3,4,ＲＫＢ賞･2勝,35.6,先行,11,11,22,京都,T,2000,良,11,7,２勝ｸﾗｽ,35.7,中団,4,10,26,新潟,T,2000,稍,3,4,村上特別･2勝,35.4,差し,7,9,7,札幌,T,1800,稍,3,7,ＨＴＢ賞･2勝,36.6,先行,2,8,24,札幌,T,1800,良,2,9,WASJ第４･2勝,35.6,先行,6
6,,9,,,,,ライジンマル,,セ,5,連,2,28,中山,D,1800,稍,6,10,２勝ｸﾗｽ,39.3,逃げ,5,1,24,中山,D,1800,良,8,6,初霞賞･2勝,41.1,先行,3,1,5,中山,D,1800,稍,7,7,初茜賞･2勝,40.0,中団,12,10,11,東京,D,2100,稍,14,6,東村山特･2勝,40.0,先行,4,9,15,中山,D,1800,良,4,4,鋸山特別･2勝,39.4,逃げ,7
7,,10,,,,,ミダース,,牡,5,10,12,27,中山,D,1800,稍,1,2,１勝ｸﾗｽ,37.9,差し,17,8,30,新潟,D,1800,良,2,3,１勝ｸﾗｽ,37.4,先行,9,6,28,福島,D,1700,良,4,9,１勝ｸﾗｽ,38.1,差し,45,8,17,新潟,D,1800,良,1,1,未勝利,39.8,先行,9,6,16,東京,D,1600,良,3,1,未勝利,37.6,先行,2
7,,11,,,,,トルショー,,牡,4,連,2,28,中山,D,1800,稍,11,11,２勝ｸﾗｽ,39.3,中団,7,1,10,中山,D,1800,良,9,6,２勝ｸﾗｽ,38.9,ﾏｸﾘ,7,11,23,東京,D,1600,良,11,8,２勝ｸﾗｽ,35.9,中団,5,10,19,東京,D,1600,良,12,8,西湖特別･2勝,38.1,逃げ,6,9,9,川崎,D,1600,稍,9,2,スパー,----,中団,19
8,,12,,,,,リザードアイランド,,牡,4,13,12,7,中山,D,1800,良,1,1,１勝ｸﾗｽ,37.0,先行,11,9,21,中山,D,1800,良,2,1,１勝ｸﾗｽ,38.8,先行,22,4,19,中山,D,1800,良,1,3,未勝利,37.6,先行,3,3,29,中山,T,1800,稍,7,3,未勝利,37.7,先行,初,,,,,,,,,,,,
8,,13,,,,,ニシノブレイゼスト,,牡,4,8,1,10,中山,D,1800,良,1,1,１勝ｸﾗｽ,38.3,先行,2,12,27,中山,D,1800,稍,4,3,１勝ｸﾗｽ,39.0,先行,3,12,7,中山,D,1800,良,3,5,１勝ｸﾗｽ,38.3,先行,12,9,14,中山,D,1800,稍,4,7,１勝ｸﾗｽ,37.3,先行,4,8,17,札幌,D,1700,稍,6,5,１勝ｸﾗｽ,38.0,後方,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020409,2026.3.8,日,中山,2中4,9,湾岸Ｓ,3勝,芝,2500,A,5,良,晴,16,14:30,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,マイユニバース,,牡,4,8,1,10,中山,T,2200,良,2,1,迎春Ｓ･3勝,34.2,先行,11,10,26,京都,T,3000,稍,13,4,菊花賞G1,36.7,先行,5,9,20,中山,T,2500,良,1,1,九十九里･2勝,34.1,逃げ,16,6,1,京都,T,1800,良,5,1,白百合Ｓ(L),35.0,中団,2,5,17,京都,T,2000,不,1,3,あずさ賞･1勝,35.1,差し,9
1,,2,,,,,リンフレスカンテ,,牡,8,50,3,23,阪神,T,3000,良,9,10,阪神大賞G2,37.7,先行,3,3,1,阪神,T,3000,良,4,4,阪神競Ｈ･3勝,36.4,追込,15,11,17,京都,T,2400,良,3,9,比叡ＳＨ･3勝,34.7,差し,5,10,14,東京,T,2500,良,1,3,２勝ｸﾗｽ,33.9,逃げ,3,9,21,中山,T,2500,良,3,4,九十九里･2勝,35.3,先行,11
2,,3,,,,,ガジュノリ,,牝,5,6,1,24,中山,T,2000,良,4,12,初富士Ｈ･3勝,34.4,差し,4,12,28,阪神,T,2000,良,10,5,サンクフ･3勝,35.0,中団,2,12,14,阪神,T,2200,良,8,5,オリオン･3勝,34.9,後方,19,8,2,札幌,T,2000,良,10,3,ＳＴＶＨ･3勝,35.1,中団,6,6,21,阪神,T,2200,良,2,6,ストーＨ･3勝,34.9,差し,4
2,,4,,,,,アスターブジエ,,牡,6,10,12,27,中山,T,2500,良,5,7,グレイト･3勝,34.7,先行,5,11,22,京都,T,2400,良,4,11,比叡Ｓ･3勝,34.5,差し,3,11,2,京都,T,3000,良,4,7,古都ＳＨ･3勝,34.3,追込,8,9,7,札幌,T,2600,稍,6,10,丹頂ＳＨ,35.1,中団,11,6,21,阪神,T,2200,良,8,9,ストーＨ･3勝,35.0,後方,3
3,,5,,,,,ショウナンサムデイ,,牝,4,16,11,16,東京,T,1800,良,9,1,ユートピ･3勝,34.3,先行,7,9,28,中山,T,2000,良,1,1,茨城新聞･2勝,34.3,先行,4,8,30,札幌,T,2000,稍,2,3,札幌日刊･2勝,36.3,差し,5,7,26,札幌,T,2000,良,1,3,１勝ｸﾗｽ,34.3,先行,14,4,19,中山,T,1800,良,4,5,１勝ｸﾗｽ・牝*,34.0,逃げ,3
3,,6,,,,,レッドテリオス,,牡,5,10,12,27,中山,T,2500,良,6,2,グレイト･3勝,34.4,先行,5,11,22,京都,T,2400,良,6,4,比叡Ｓ･3勝,34.4,中団,33,4,6,中山,T,2500,良,1,1,安房特Ｈ･2勝,34.7,先行,4,3,8,中山,T,2500,良,3,2,潮来特別･2勝,35.0,先行,8,1,12,中山,T,2200,良,1,1,１勝ｸﾗｽ,34.4,追込,3
4,,7,,,,,ルカランフィースト,,牡,5,8,1,10,中山,T,2200,良,14,4,迎春Ｓ･3勝,35.8,中団,20,8,23,札幌,T,2000,良,5,2,WASJ第２･3勝,36.2,後方,8,6,28,福島,T,2000,良,12,6,バーデン･3勝,36.3,後方,11,4,13,中山,T,2000,良,1,1,鹿野山特･2勝,34.3,差し,6,3,2,中山,T,1800,良,9,3,富里特別･2勝,33.2,後方,8
4,,8,,,,,マイネルブリックス,,牡,5,6,1,24,中山,T,2000,良,6,15,初富士Ｈ･3勝,34.5,中団,2,1,10,中山,T,2200,良,13,15,迎春Ｓ･3勝,36.1,中団,4,12,13,中山,T,1800,良,15,10,常総Ｓ･3勝,35.0,中団,5,11,9,東京,T,2000,良,5,8,イクイノ･3勝,34.1,中団,17,7,13,函館,T,1800,良,4,8,巴賞,34.6,差し,8
5,,9,,,,,コスモフロイデ,,牡,7,3,2,14,京都,T,2000,良,14,16,飛鳥Ｓ･3勝,37.3,逃げ,3,1,24,中山,T,2000,良,15,17,初富士Ｈ･3勝,34.9,中団,3,1,4,京都,T,2000,良,8,9,寿Ｓ･3勝,34.3,先行,3,12,14,阪神,T,2200,良,13,14,オリオン･3勝,36.5,中団,2,11,30,東京,T,2000,良,14,15,ウェルカ･3勝,35.4,中団,3
5,,10,,,,,ヤマニンエンディマ,,牡,6,7,1,17,中山,D,1800,良,11,10,アレキＨ･3勝,38.5,先行,13,10,18,東京,D,2100,良,8,3,伊勢佐木･3勝,37.7,先行,21,5,25,東京,D,2100,重,2,14,丹沢ＳＨ･3勝,36.7,先行,34,9,28,中京,T,2000,良,11,8,高山Ｓ･3勝,36.2,中団,11,7,14,福島,T,2000,良,10,2,阿武隈Ｈ･3勝,36.4,中団,9
6,,11,,,,,バレンタインガール,,牝,5,8,1,10,中山,T,2200,良,3,6,迎春Ｓ･3勝,34.2,差し,7,11,24,東京,T,2400,良,1,5,南武特別･2勝,34.0,追込,6,10,11,東京,T,2400,良,4,6,陣馬特別･2勝,33.2,追込,11,7,26,札幌,T,2600,良,6,2,ライラッ･2勝,35.8,先行,3,7,6,函館,T,2600,稍,2,1,横津岳Ｈ･2勝,36.0,追込,9
6,B,12,,,,,ロードオールライト,,牡,5,8,1,10,中山,T,2200,良,8,5,迎春Ｓ･3勝,36.0,先行,10,11,2,京都,T,3000,良,9,2,古都ＳＨ･3勝,36.4,逃げ,3,10,13,東京,T,2400,良,6,4,昇仙峡Ｓ･3勝,34.9,逃げ,13,7,12,福島,T,2600,良,1,6,信夫山特･2勝,36.4,逃げ,10,5,3,京都,T,2200,稍,1,1,１勝ｸﾗｽ,34.0,先行,8
7,,13,,,,,ノーランサンライズ,,牝,4,3,2,14,京都,T,2000,良,5,6,飛鳥Ｓ･3勝,35.5,中団,12,11,24,福島,T,1800,良,1,7,五色沼特･2勝,34.8,差し,2,11,8,京都,T,2000,良,1,5,１勝ｸﾗｽ,33.8,差し,8,9,13,中山,T,2000,稍,4,2,１勝ｸﾗｽ,34.0,差し,3,8,23,中京,T,2000,良,3,6,１勝ｸﾗｽ・牝,34.4,先行,6
7,B,14,,,,,ウインルーティン,,牡,6,15,11,22,京都,T,2400,良,9,10,比叡Ｓ･3勝,35.1,先行,9,9,21,阪神,T,2200,良,5,8,ムーンＨ･3勝,34.3,逃げ,36,1,11,中山,T,2200,良,7,7,迎春Ｓ･3勝,36.3,先行,53,1,6,京都,T,3000,良,2,3,万葉ＳＨ,36.6,差し,4,12,10,阪神,T,2400,良,1,1,２勝ｸﾗｽ,33.4,先行,10
8,,15,,,,,エコロレイズ,,牡,5,2,2,21,小倉,T,2600,良,1,6,皿倉山特･2勝,35.3,差し,8,12,28,中山,T,2500,良,6,7,グッドＨ･2勝,36.4,先行,3,12,7,中山,T,2500,良,5,5,２勝ｸﾗｽ,34.9,中団,2,11,24,東京,T,2400,良,4,7,南武特別･2勝,34.6,差し,9,9,20,中山,T,2500,良,3,2,九十九里･2勝,34.5,先行,5
8,,16,,,,,トリプルコーク,,牡,4,18,11,1,東京,T,2400,良,1,1,本栖湖Ｈ･2勝,33.3,先行,9,8,31,新潟,T,2200,良,1,1,瓢湖特別･1勝,34.9,差し,11,6,15,東京,T,2000,稍,2,1,１勝ｸﾗｽ,34.3,差し,16,2,22,東京,T,2000,良,4,1,フリージ･1勝,34.0,差し,10,12,14,中山,T,2000,良,1,1,新馬,34.3,差し,初
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020410,2026.3.8,日,中山,2中4,10,総武Ｓ,ｵｰﾌﾟﾝ,ダート,1800,,4,稍,晴,16,15:05,,別定,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,イムホテプ,,牡,4,11,12,21,中山,D,1800,重,1,1,北総Ｓ･3勝,36.8,先行,13,9,21,中山,D,1800,良,11,1,内房ＳＨ･3勝,40.7,逃げ,6,8,10,札幌,D,1700,良,1,1,ＦビレＨ･2勝,37.5,逃げ,19,3,29,中山,D,1800,稍,6,2,伏竜Ｓ,37.6,中団,2,3,15,中山,D,1800,稍,1,1,１勝ｸﾗｽ*,37.6,先行,9
2,B,2,,,,,シェットランド,,牡,6,12,12,14,中山,D,1800,稍,12,13,師走ＳＨ(L),39.3,中団,3,11,24,福島,D,1700,良,1,12,奥羽Ｓ･3勝,37.6,先行,7,10,5,東京,D,1600,良,6,12,赤富士Ｓ･3勝,37.2,中団,9,8,2,新潟,D,1800,良,11,7,柳都ＳＨ･3勝,39.1,先行,15,4,19,中山,D,1800,良,11,13,下総Ｓ･3勝,40.4,先行,6
2,,3,,,,,ミアネーロ,,牝,5,20,10,19,新潟,T,2200,良,4,4,新潟牝馬(L),34.6,差し,17,6,22,東京,T,1800,良,11,6,府中牝馬ＨG3,35.4,中団,5,5,18,東京,T,1600,良,消,--,ヴィクトG1,----,,10,3,8,中山,T,1800,良,8,2,中山牝馬ＨG3,34.8,後方,12,12,14,中山,T,1600,良,8,1,ターコイＨG3,34.1,後方,9
3,B,4,,,,,リチュアル,,セ,7,8,1,11,中山,D,1800,良,3,8,ポルック,38.1,先行,12,10,19,東京,D,2100,良,7,6,ブラジＨ(L),37.8,先行,7,8,30,中京,D,1800,良,2,6,名古屋城Ｈ,37.8,先行,10,6,21,東京,D,2100,良,5,6,スレイプ,38.8,先行,6,5,11,京都,D,1800,稍,11,4,平城京Ｓ,37.5,後方,7
3,,5,,,,,ルヴァンユニベール,,牡,4,21,10,12,京都,D,1800,良,6,2,太秦Ｓ,36.8,先行,6,9,2,盛岡,D,2000,不,5,3,不来方G2,----,先行,3,8,10,新潟,D,1800,不,2,12,レパードG3,36.7,先行,7,6,22,阪神,D,1800,良,2,2,２勝ｸﾗｽ,38.2,先行,3,5,31,京都,D,1800,良,4,2,鳳雛Ｓ(L),36.6,追込,9
4,,6,,,,,ショウナンライシン,,牡,6,12,12,14,中山,D,1800,稍,5,10,師走ＳＨ(L),38.3,中団,4,11,16,福島,D,1700,良,4,6,福島民友(L),37.3,差し,2,11,1,東京,D,1600,重,5,9,ペルセウＨ,35.3,後方,12,8,9,札幌,D,1700,稍,9,14,エルムＳG3,38.1,後方,3,7,19,函館,D,1700,良,11,10,マリーンＨ,37.3,後方,2
4,,7,,,,,アスクデビューモア,,牡,5,9,1,4,中山,D,1800,稍,1,5,招福Ｓ･3勝,38.1,ﾏｸﾘ,7,11,16,京都,D,1800,良,7,10,天橋立Ｈ･3勝,37.3,後方,4,10,18,東京,D,2100,良,5,7,伊勢佐木･3勝,36.8,後方,7,8,31,中京,D,1900,良,5,5,白川郷Ｓ･3勝,37.9,中団,14,5,25,東京,D,2100,重,6,5,丹沢ＳＨ･3勝,36.3,中団,6
5,B,8,,,,,レヴォントゥレット,,牡,5,11,12,24,名古,D,2000,不,7,2,名古屋G3,----,逃げ,6,11,9,京都,D,1800,不,11,10,みやこＳG3,39.0,逃げ,6,10,1,船橋,D,1800,稍,2,2,日本ＴG2,----,先行,5,8,23,新潟,D,1800,良,3,2,ＢＳＮ賞(L),37.6,先行,13,5,24,京都,D,1900,稍,3,10,平安ＳG3,35.6,逃げ,3
